지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
98,동두천,2023-02-05 1:00,-4.9,,,,0.1,,0,,75,,3.2,-8.6,1012.2,,1027.2,,,9,,9,,,3,0,,,1109,,,-1.3,,,,,
98,동두천,2023-02-05 2:00,-5.2,,,,0,,0,,78,,3.2,-8.4,1011.9,,1026.9,,,9,,9,,,2,0,,,941,,,-1.8,,,,,
98,동두천,2023-02-05 3:00,-5.5,,,,0,,0,,82,,3.3,-8,1012,,1027,,,9,,9,,,0,0,,,793,,,-2.7,,,,,
98,동두천,2023-02-05 4:00,-6,,,,0,,0,,85,,3.3,-8.1,1011.3,,1026.3,,,9,,9,,,0,0,,,652,,,-3.5,,,,,
98,동두천,2023-02-05 5:00,-6.2,,,,0,,0,,87,,3.3,-8,1011.4,,1026.4,,,9,,9,,,0,0,,,595,,,-4.2,,,,,
98,동두천,2023-02-05 6:00,-7.1,,,,0.1,,0,,89,,3.2,-8.6,1011.4,,1026.5,,,9,,9,,,0,0,,,481,,,-4.6,,,,,
98,동두천,2023-02-05 7:00,-7.3,,,,0,,0,,90,,3.2,-8.6,1011.7,,1026.8,,,9,,9,,,0,0,,,406,,,-5,,,,,
98,동두천,2023-02-05 8:00,-6.5,,,,0,,0,,89,,3.3,-8,1012.1,,1027.1,,0,,0,,,,8,8,,7,477,,,-4,,,,,
98,동두천,2023-02-05 9:00,-5,,,,0,,0,,86,,3.6,-6.9,1012.6,,1027.6,,0,,0.18,,,,9,9,,8,573,,,-2.8,,,,,
98,동두천,2023-02-05 10:00,-3,,,,0,,0,,80,,3.9,-5.9,1012.7,,1027.6,,0.4,,0.68,,,,4,4,,9,556,,,-1.5,,,,,
98,동두천,2023-02-05 11:00,-0.1,,,,0.2,,0,,68,,4.1,-5.3,1012.5,,1027.2,,1,,1.57,,,,0,0,,,683,,,0.1,,,,,
98,동두천,2023-02-05 12:00,3.8,,,,1.7,,230,,58,,4.6,-3.7,1011.9,,1026.3,,1,,1.82,,,,0,0,,,1043,,,0.8,,,,,
98,동두천,2023-02-05 13:00,4.7,,,,0.6,,270,,55,,4.7,-3.5,1011,,1025.4,,1,,1.99,,,,4,4,,9,958,,,2.9,,,,,
98,동두천,2023-02-05 14:00,6.5,,,,3.6,,250,,45,,4.3,-4.6,1010,,1024.3,,1,,1.96,,,,1,1,,9,1036,,,5.1,,,,,
98,동두천,2023-02-05 15:00,6.8,,,,3.8,,230,,45,,4.4,-4.3,1009.8,,1024.1,,1,,1.67,,,,0,0,,,1037,,,6.5,,,,,
98,동두천,2023-02-05 16:00,6,,,,3.5,,250,,46,,4.3,-4.7,1009.6,,1023.9,,1,,1.19,,,,5,3,,11,1102,,,4.5,,,,,
98,동두천,2023-02-05 17:00,4.9,,,,2.1,,270,,54,,4.7,-3.6,1009.5,,1023.9,,0.9,,0.63,,,,1,1,,11,1050,,,1.5,,,,,
98,동두천,2023-02-05 18:00,3.8,,,,0.9,,230,,61,,4.9,-3,1009.5,,1023.9,,0.3,,0.13,,,,0,0,,,911,,,-0.2,,,,,
98,동두천,2023-02-05 19:00,2.2,,,,0,,0,,68,,4.9,-3.1,1010,,1024.5,,,9,,9,,,0,0,,,824,,,-0.2,,,,,
98,동두천,2023-02-05 20:00,0.8,,,,0,,0,,75,,4.9,-3.1,1010.2,,1024.8,,,9,,9,,,0,0,,,739,,,-0.2,,,,,
98,동두천,2023-02-05 21:00,-0.5,,,,0.1,,0,,81,,4.8,-3.3,1010.5,,1025.2,,,9,,9,,,0,0,,,610,,,-0.3,,,,,
98,동두천,2023-02-05 22:00,-1.1,,,,0,,0,,85,,4.8,-3.3,1011,,1025.7,,,9,,9,,,0,0,,,537,,,-0.4,,,,,
98,동두천,2023-02-05 23:00,-1.8,,,,0,,0,,87,,4.7,-3.6,1010.7,,1025.5,,,9,,9,,,0,0,,,526,,,-0.5,,,,,
98,동두천,2023-02-06 0:00,-2,,,,0,,0,,89,,4.7,-3.5,1010.8,,1025.6,,,9,,9,,,2,1,,,465,,,-0.5,,,,,
