지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),지면온도(°C)
108,서울,2023-02-01 1:00,5.2,,4,88,0.9
108,서울,2023-02-01 2:00,4.3,,2.2,89,-0.1
108,서울,2023-02-01 3:00,3.3,,1.2,93,-0.2
108,서울,2023-02-01 4:00,2.2,,2.1,96,-0.2
108,서울,2023-02-01 5:00,1.6,,2,96,-0.2
108,서울,2023-02-01 6:00,0.9,,3.7,99,-0.3
108,서울,2023-02-01 7:00,0.2,,1.7,96,-0.5
108,서울,2023-02-01 8:00,-0.4,,2.2,96,-0.6
108,서울,2023-02-01 9:00,-0.3,,2.9,97,-0.2
108,서울,2023-02-01 10:00,0.7,,3,91,0
108,서울,2023-02-01 11:00,2.1,,2.1,79,3.7
108,서울,2023-02-01 12:00,3.2,,5.4,50,8.7
108,서울,2023-02-01 13:00,3.7,,5,48,9.9
108,서울,2023-02-01 14:00,4.7,,4.5,39,10.2
108,서울,2023-02-01 15:00,3.6,,5.4,40,7.4
108,서울,2023-02-01 16:00,2.7,,6,44,2.6
108,서울,2023-02-01 17:00,1.8,,4.4,46,-0.1
108,서울,2023-02-01 18:00,0.6,,3.3,50,-0.3
108,서울,2023-02-01 19:00,-0.4,,3.6,54,-0.6
108,서울,2023-02-01 20:00,-1,,3,57,-0.9
108,서울,2023-02-01 21:00,-1.4,,3.1,58,-1.1
108,서울,2023-02-01 22:00,-1.8,,4,59,-1.4
108,서울,2023-02-01 23:00,-2.3,,2.5,60,-1.6
108,서울,2023-02-02 0:00,-3,,1,60,-1.9
